country,study_type,phase,study_count,mean_sites,median_sites,p90_sites,absolute_max_sites
North Macedonia,OBSERVATIONAL,NA,38,1.68,1,2,17
Northern Mariana Islands,INTERVENTIONAL,NA,1,1,1,1,1
Northern Mariana Islands,OBSERVATIONAL,NA,1,1,1,1,1
Norway,EXPANDED_ACCESS,NA,9,1.22,1,2,2
Norway,INTERVENTIONAL,EARLY_PHASE1,15,1.13,1,1.6,2
Norway,INTERVENTIONAL,NA,2010,1.7,1,2,130
Norway,INTERVENTIONAL,PHASE1,120,1.28,1,2,4
Norway,INTERVENTIONAL,PHASE1/PHASE2,119,1.4,1,3,5
Norway,INTERVENTIONAL,PHASE2,626,2.01,1,4,17
Norway,INTERVENTIONAL,PHASE2/PHASE3,84,2.11,1,4.7,18
Norway,INTERVENTIONAL,PHASE3,1086,3.09,2,6,37
Norway,INTERVENTIONAL,PHASE4,366,2.78,1,6,58
Norway,OBSERVATIONAL,NA,1174,1.76,1,3,63
Oman,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Oman,INTERVENTIONAL,NA,26,1.15,1,1,4
Oman,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Oman,INTERVENTIONAL,PHASE2,9,1.11,1,1.2,2
Oman,INTERVENTIONAL,PHASE2/PHASE3,4,1.75,1.5,2.7,3
Oman,INTERVENTIONAL,PHASE3,37,1.05,1,1,2
Oman,INTERVENTIONAL,PHASE4,11,1.09,1,1,2
Oman,OBSERVATIONAL,NA,36,1.06,1,1,2
Pakistan,INTERVENTIONAL,EARLY_PHASE1,54,1.02,1,1,2
Pakistan,INTERVENTIONAL,NA,3757,1.1,1,1,15
Pakistan,INTERVENTIONAL,PHASE1,80,1.15,1,1,4
Pakistan,INTERVENTIONAL,PHASE1/PHASE2,41,1.12,1,1,3
Pakistan,INTERVENTIONAL,PHASE2,135,1.43,1,2,9
Pakistan,INTERVENTIONAL,PHASE2/PHASE3,61,1.16,1,1,8
Pakistan,INTERVENTIONAL,PHASE3,195,1.9,1,4,25
Pakistan,INTERVENTIONAL,PHASE4,228,1.24,1,1.3,11
Pakistan,OBSERVATIONAL,NA,543,1.44,1,2,41
Palestinian Territories,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Palestinian Territories,INTERVENTIONAL,NA,65,1.17,1,1.6,4
Palestinian Territories,INTERVENTIONAL,PHASE1,1,1,1,1,1
Palestinian Territories,INTERVENTIONAL,PHASE2,2,1,1,1,1
Palestinian Territories,INTERVENTIONAL,PHASE2/PHASE3,2,2,2,2.8,3
Palestinian Territories,INTERVENTIONAL,PHASE3,1,1,1,1,1
Palestinian Territories,OBSERVATIONAL,NA,8,1.25,1,2,2
Panama,EXPANDED_ACCESS,NA,2,1,1,1,1
Panama,INTERVENTIONAL,EARLY_PHASE1,2,1,1,1,1
Panama,INTERVENTIONAL,NA,56,1.2,1,1.5,5
Panama,INTERVENTIONAL,PHASE1,9,2.11,2,3.2,4
Panama,INTERVENTIONAL,PHASE1/PHASE2,19,1.53,1,3,4
Panama,INTERVENTIONAL,PHASE2,49,1.67,1,3,5
Panama,INTERVENTIONAL,PHASE2/PHASE3,13,2,1,3.8,4
Panama,INTERVENTIONAL,PHASE3,162,1.55,1,3,7
Panama,INTERVENTIONAL,PHASE4,25,1.2,1,2,3
Panama,OBSERVATIONAL,NA,49,1.41,1,2,13
Papua New Guinea,INTERVENTIONAL,NA,5,1.6,1,2.8,4
Papua New Guinea,INTERVENTIONAL,PHASE2,8,1.13,1,1.3,2
Papua New Guinea,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Papua New Guinea,INTERVENTIONAL,PHASE3,11,1.09,1,1,2
Papua New Guinea,INTERVENTIONAL,PHASE4,7,1,1,1,1
Papua New Guinea,OBSERVATIONAL,NA,7,1.14,1,1.4,2
Paraguay,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Paraguay,INTERVENTIONAL,NA,53,1.06,1,1,2
Paraguay,INTERVENTIONAL,PHASE1,2,1,1,1,1
Paraguay,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
Paraguay,INTERVENTIONAL,PHASE2,3,2.33,2,3.6,4
Paraguay,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Paraguay,INTERVENTIONAL,PHASE3,14,1.57,1,3.4,5
Paraguay,INTERVENTIONAL,PHASE4,3,1,1,1,1
Paraguay,OBSERVATIONAL,NA,10,1.8,1,2.6,8
Peru,EXPANDED_ACCESS,NA,3,2.67,2,3.6,4
Peru,INTERVENTIONAL,EARLY_PHASE1,2,2,2,2.8,3
Peru,INTERVENTIONAL,NA,120,1.29,1,2,12
Peru,INTERVENTIONAL,PHASE1,18,1.56,1.5,2,3
Peru,INTERVENTIONAL,PHASE1/PHASE2,12,2.17,2,3.9,5
Peru,INTERVENTIONAL,PHASE2,220,2.77,2,5.1,17
Peru,INTERVENTIONAL,PHASE2/PHASE3,30,3.6,4,6,12
Peru,INTERVENTIONAL,PHASE3,750,3.86,3,7,20
Peru,INTERVENTIONAL,PHASE4,71,2.75,2,6,10
Peru,OBSERVATIONAL,NA,126,2.06,1,4,15
Philippines,EXPANDED_ACCESS,NA,6,2.67,2.5,4,4
Philippines,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Philippines,INTERVENTIONAL,NA,111,1.64,1,3,25
Philippines,INTERVENTIONAL,PHASE1,21,2,1,4,9
Philippines,INTERVENTIONAL,PHASE1/PHASE2,16,2.19,2,3.5,5
Philippines,INTERVENTIONAL,PHASE2,181,2.73,2,5,10
Philippines,INTERVENTIONAL,PHASE2/PHASE3,42,3.64,3,6,10
Philippines,INTERVENTIONAL,PHASE3,704,4.29,4,8,20
Philippines,INTERVENTIONAL,PHASE4,105,4.05,2,6,127
Philippines,OBSERVATIONAL,NA,129,5.75,1,7.8,122
Poland,EXPANDED_ACCESS,NA,19,3.16,2,5.4,9
Poland,INTERVENTIONAL,EARLY_PHASE1,11,2.18,1,5,8
Poland,INTERVENTIONAL,NA,1517,1.56,1,3,23
Poland,INTERVENTIONAL,PHASE1,292,2.63,2,5,13
Poland,INTERVENTIONAL,PHASE1/PHASE2,259,2.98,2,6,16
Poland,INTERVENTIONAL,PHASE2,2336,5.31,4,11,41
Poland,INTERVENTIONAL,PHASE2/PHASE3,256,4.76,3,10,45
Poland,INTERVENTIONAL,PHASE3,4573,7.12,5,14,95
Poland,INTERVENTIONAL,PHASE4,569,4.7,2,10,247
Poland,OBSERVATIONAL,NA,1236,2.93,1,6,438
Portugal,EXPANDED_ACCESS,NA,7,3.29,4,5,5
Portugal,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Portugal,INTERVENTIONAL,NA,902,1.41,1,2,39
Portugal,INTERVENTIONAL,NA,1,1,1,1,1
Portugal,INTERVENTIONAL,PHASE1,85,1.4,1,3,5
Portugal,INTERVENTIONAL,PHASE1/PHASE2,37,2,1,3.4,7
Portugal,INTERVENTIONAL,PHASE2,393,2.79,2,5,13
Portugal,INTERVENTIONAL,PHASE2/PHASE3,84,3.17,2.5,7,9
Portugal,INTERVENTIONAL,PHASE3,1434,3.87,3,7,20
Portugal,INTERVENTIONAL,PHASE4,167,3.54,2,8,33
Portugal,OBSERVATIONAL,NA,683,2.55,1,6,58
Puerto Rico,EXPANDED_ACCESS,NA,11,1.64,1,3,3
Puerto Rico,INTERVENTIONAL,EARLY_PHASE1,2,1.5,1.5,1.9,2
Puerto Rico,INTERVENTIONAL,NA,162,1.72,1,2.9,14
Puerto Rico,INTERVENTIONAL,PHASE1,138,1.37,1,2,10
Puerto Rico,INTERVENTIONAL,PHASE1/PHASE2,79,1.41,1,2,7
Puerto Rico,INTERVENTIONAL,PHASE2,683,1.73,1,3,15
Puerto Rico,INTERVENTIONAL,PHASE2/PHASE3,79,1.84,1,3,12
Puerto Rico,INTERVENTIONAL,PHASE3,1408,1.96,1,4,12
Puerto Rico,INTERVENTIONAL,PHASE4,164,2.32,1,4,27
Puerto Rico,OBSERVATIONAL,NA,234,1.46,1,2,9
Qatar,INTERVENTIONAL,EARLY_PHASE1,2,1,1,1,1
Qatar,INTERVENTIONAL,NA,88,1.08,1,1,3
Qatar,INTERVENTIONAL,PHASE1,3,1,1,1,1
Qatar,INTERVENTIONAL,PHASE2,10,1,1,1,1
Qatar,INTERVENTIONAL,PHASE2/PHASE3,3,1.33,1,1.8,2
Qatar,INTERVENTIONAL,PHASE3,22,1.05,1,1,2
Qatar,INTERVENTIONAL,PHASE4,30,1,1,1,1
Qatar,OBSERVATIONAL,NA,87,1.03,1,1,2
Republic of the Congo,INTERVENTIONAL,NA,12,1,1,1,1
Republic of the Congo,INTERVENTIONAL,PHASE1,1,1,1,1,1
Republic of the Congo,INTERVENTIONAL,PHASE2,5,1.2,1,1.6,2
Republic of the Congo,INTERVENTIONAL,PHASE2/PHASE3,4,3,1.5,6.2,8
Republic of the Congo,INTERVENTIONAL,PHASE3,5,1,1,1,1
Republic of the Congo,INTERVENTIONAL,PHASE4,4,2.25,1,4.5,6
Republic of the Congo,OBSERVATIONAL,NA,8,1.5,1,2.3,3
Reunion,INTERVENTIONAL,NA,47,1.45,1,2,7
Reunion,INTERVENTIONAL,PHASE2,2,1,1,1,1
Reunion,INTERVENTIONAL,PHASE2/PHASE3,3,1,1,1,1
Reunion,INTERVENTIONAL,PHASE3,7,1.14,1,1.4,2
Reunion,INTERVENTIONAL,PHASE4,4,1,1,1,1
Reunion,OBSERVATIONAL,NA,46,1.24,1,2,3
Romania,EXPANDED_ACCESS,NA,10,2.6,2.5,4.1,5
Romania,INTERVENTIONAL,EARLY_PHASE1,2,1.5,1.5,1.9,2
Romania,INTERVENTIONAL,NA,293,1.48,1,2,18
Romania,INTERVENTIONAL,NA,1,1,1,1,1
Romania,INTERVENTIONAL,PHASE1,82,1.46,1,2,5
Romania,INTERVENTIONAL,PHASE1/PHASE2,45,2.64,2,4.6,8
Romania,INTERVENTIONAL,PHASE2,650,3.99,3.5,7.1,16
Romania,INTERVENTIONAL,PHASE2/PHASE3,86,4.51,4,9.5,18
Romania,INTERVENTIONAL,PHASE3,1827,5.45,4,10,46
Romania,INTERVENTIONAL,PHASE4,160,4.63,3,10,23
Romania,OBSERVATIONAL,NA,389,5.03,1,11.2,106
Russia,EXPANDED_ACCESS,NA,19,4.26,3,8.8,12
Russia,INTERVENTIONAL,EARLY_PHASE1,7,1,1,1,1
Russia,INTERVENTIONAL,NA,696,1.69,1,2,54
Russia,INTERVENTIONAL,PHASE1,255,2.35,1,5,28
Russia,INTERVENTIONAL,PHASE1/PHASE2,150,3.24,2,7.1,20
Russia,INTERVENTIONAL,PHASE2,1231,5.67,5,11,44
Russia,INTERVENTIONAL,PHASE2/PHASE3,154,5.34,3,15,33
Russia,INTERVENTIONAL,PHASE3,3078,8.56,6,17.3,114
Russia,INTERVENTIONAL,PHASE4,374,6.66,3,16,93
Russia,OBSERVATIONAL,NA,819,6.33,1,18,190
Rwanda,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Rwanda,INTERVENTIONAL,NA,73,1.99,1,2,39
Rwanda,INTERVENTIONAL,PHASE1,8,1.13,1,1.3,2
Rwanda,INTERVENTIONAL,PHASE1/PHASE2,6,1,1,1,1
Rwanda,INTERVENTIONAL,PHASE2,6,1.17,1,1.5,2
Rwanda,INTERVENTIONAL,PHASE2/PHASE3,3,1,1,1,1
Rwanda,INTERVENTIONAL,PHASE3,15,1.8,1,4.2,6
Rwanda,INTERVENTIONAL,PHASE4,8,2,1,3.6,5
Rwanda,OBSERVATIONAL,NA,31,1.1,1,1,3
Saint Kitts and Nevis,INTERVENTIONAL,PHASE2,1,3,3,3,3
Saint Kitts and Nevis,INTERVENTIONAL,PHASE4,2,1,1,1,1
Saint Kitts and Nevis,OBSERVATIONAL,NA,1,1,1,1,1
Saint Lucia,INTERVENTIONAL,PHASE3,1,1,1,1,1
Saint Lucia,OBSERVATIONAL,NA,1,1,1,1,1
Saint Martin,OBSERVATIONAL,NA,1,1,1,1,1
Saint Vincent and the Grenadines,OBSERVATIONAL,NA,1,1,1,1,1
Samoa,INTERVENTIONAL,NA,1,1,1,1,1
Samoa,OBSERVATIONAL,NA,1,1,1,1,1
San Marino,INTERVENTIONAL,NA,2,1,1,1,1
San Marino,OBSERVATIONAL,NA,1,1,1,1,1
Saudi Arabia,EXPANDED_ACCESS,NA,2,2.5,2.5,3.7,4
Saudi Arabia,INTERVENTIONAL,EARLY_PHASE1,10,1.2,1,2,2
Saudi Arabia,INTERVENTIONAL,NA,687,1.1,1,1,8
Saudi Arabia,INTERVENTIONAL,PHASE1,27,1.19,1,1.4,3
Saudi Arabia,INTERVENTIONAL,PHASE1/PHASE2,19,1.21,1,2,3
Saudi Arabia,INTERVENTIONAL,PHASE2,90,1.4,1,2,14
Saudi Arabia,INTERVENTIONAL,PHASE2/PHASE3,29,1.45,1,2,7
Saudi Arabia,INTERVENTIONAL,PHASE3,260,2,1,4,8
Saudi Arabia,INTERVENTIONAL,PHASE4,110,1.49,1,2.1,15
Saudi Arabia,OBSERVATIONAL,NA,385,2.2,1,4,71
Senegal,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Senegal,INTERVENTIONAL,NA,34,1.59,1,3.7,6
Senegal,INTERVENTIONAL,PHASE1,2,1,1,1,1
Senegal,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
Senegal,INTERVENTIONAL,PHASE2,17,1,1,1,1
Senegal,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Senegal,INTERVENTIONAL,PHASE3,24,1.25,1,2,3
Senegal,INTERVENTIONAL,PHASE4,13,1.15,1,1.8,2
Senegal,OBSERVATIONAL,NA,33,1.39,1,2,6
Serbia,EXPANDED_ACCESS,NA,6,1.5,1,2.5,4
Serbia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Serbia,INTERVENTIONAL,NA,194,1.46,1,2.7,10
Serbia,INTERVENTIONAL,PHASE1,28,1.86,1,3,4
Serbia,INTERVENTIONAL,PHASE1/PHASE2,22,2.5,2,4.9,5
Serbia,INTERVENTIONAL,PHASE2,322,3.29,3,6,12
Serbia,INTERVENTIONAL,PHASE2/PHASE3,50,2.92,2,6,13
Serbia,INTERVENTIONAL,PHASE3,878,3.9,3,7,21
Serbia,INTERVENTIONAL,PHASE4,74,2.46,2,5,12
Serbia,OBSERVATIONAL,NA,197,2.32,1,5.4,18
Serbia and Montenegro,INTERVENTIONAL,NA,1,1,1,1,1
Serbia and Montenegro,INTERVENTIONAL,PHASE2,10,2.2,2,4,4
Serbia and Montenegro,INTERVENTIONAL,PHASE2/PHASE3,1,6,6,6,6
Serbia and Montenegro,INTERVENTIONAL,PHASE3,22,2.36,1.5,5,7
Serbia and Montenegro,INTERVENTIONAL,PHASE4,5,3,3,4,4
Serbia and Montenegro,OBSERVATIONAL,NA,6,2.17,1,4.5,6
Seychelles,OBSERVATIONAL,NA,1,1,1,1,1
Sierra Leone,INTERVENTIONAL,NA,27,2.44,1,10,10
Sierra Leone,INTERVENTIONAL,PHASE1/PHASE2,1,7,7,7,7
Sierra Leone,INTERVENTIONAL,PHASE2,6,1,1,1,1
Sierra Leone,INTERVENTIONAL,PHASE2/PHASE3,1,5,5,5,5
Sierra Leone,INTERVENTIONAL,PHASE3,5,1.8,1,3.4,5
Sierra Leone,INTERVENTIONAL,PHASE4,3,1,1,1,1
Sierra Leone,OBSERVATIONAL,NA,14,1.14,1,1.7,2
Singapore,EXPANDED_ACCESS,NA,13,2,1,4.4,6
Singapore,INTERVENTIONAL,EARLY_PHASE1,10,1.1,1,1.1,2
Singapore,INTERVENTIONAL,NA,1069,1.24,1,2,14
Singapore,INTERVENTIONAL,PHASE1,401,1.18,1,2,3
Singapore,INTERVENTIONAL,PHASE1/PHASE2,144,1.48,1,2,5
Singapore,INTERVENTIONAL,PHASE2,518,1.56,1,3,6
Singapore,INTERVENTIONAL,PHASE2/PHASE3,77,1.6,1,3,7
Singapore,INTERVENTIONAL,PHASE3,899,1.95,2,3,7
Singapore,INTERVENTIONAL,PHASE4,154,1.52,1,3,12
Singapore,OBSERVATIONAL,NA,649,1.3,1,2,14
Slovakia,EXPANDED_ACCESS,NA,6,2,1.5,3.5,5
Slovakia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Slovakia,INTERVENTIONAL,NA,125,2.79,1,3,56
Slovakia,INTERVENTIONAL,PHASE1,61,1.46,1,3,7
Slovakia,INTERVENTIONAL,PHASE1/PHASE2,13,2.31,2,4.6,7
Slovakia,INTERVENTIONAL,PHASE2,424,3.78,3,7,23
Slovakia,INTERVENTIONAL,PHASE2/PHASE3,54,3.37,3,6.7,13
Slovakia,INTERVENTIONAL,PHASE3,1312,4.73,4,9,42
Slovakia,INTERVENTIONAL,PHASE4,112,4.65,4,9.9,21
Slovakia,OBSERVATIONAL,NA,236,5.88,1,9,167
Slovenia,EXPANDED_ACCESS,NA,7,1.29,1,2,2
Slovenia,INTERVENTIONAL,EARLY_PHASE1,3,1,1,1,1
Slovenia,INTERVENTIONAL,NA,411,1.29,1,2,21
Slovenia,INTERVENTIONAL,PHASE1,19,1.21,1,1.2,4
Slovenia,INTERVENTIONAL,PHASE1/PHASE2,14,1.07,1,1,2
Slovenia,INTERVENTIONAL,PHASE2,101,1.67,1,3,7
Slovenia,INTERVENTIONAL,PHASE2/PHASE3,15,1.07,1,1,2
Slovenia,INTERVENTIONAL,PHASE3,266,1.78,1,3,14
Slovenia,INTERVENTIONAL,PHASE4,77,1.55,1,3,6
Slovenia,OBSERVATIONAL,NA,334,2.72,1,2,182
Solomon Islands,INTERVENTIONAL,NA,1,2,2,2,2
Solomon Islands,INTERVENTIONAL,PHASE3,1,1,1,1,1
Solomon Islands,INTERVENTIONAL,PHASE4,2,1,1,1,1
Somalia,INTERVENTIONAL,NA,4,1.5,1.5,2,2
Somalia,INTERVENTIONAL,PHASE4,1,1,1,1,1
Somalia,OBSERVATIONAL,NA,2,1,1,1,1
South Africa,EXPANDED_ACCESS,NA,6,5.67,4,12,15
South Africa,INTERVENTIONAL,EARLY_PHASE1,8,1.75,1.5,3,3
South Africa,INTERVENTIONAL,NA,437,1.51,1,2,32
South Africa,INTERVENTIONAL,PHASE1,174,1.97,1,4,8
South Africa,INTERVENTIONAL,PHASE1/PHASE2,81,2.85,2,6,9
South Africa,INTERVENTIONAL,PHASE2,697,3.72,3,8,36
South Africa,INTERVENTIONAL,PHASE2/PHASE3,123,4.83,4,10,32
South Africa,INTERVENTIONAL,PHASE3,1752,5.2,4,10,41
South Africa,INTERVENTIONAL,PHASE4,193,4.65,3,11,25
South Africa,OBSERVATIONAL,NA,313,2.33,1,5,26
South Korea,EXPANDED_ACCESS,NA,20,4.75,2,11.6,19
South Korea,INTERVENTIONAL,EARLY_PHASE1,22,1.55,1,3.9,5
South Korea,INTERVENTIONAL,NA,3758,1.5,1,2,46
South Korea,INTERVENTIONAL,NA,1,1,1,1,1
South Korea,INTERVENTIONAL,PHASE1,1847,1.68,1,4,14
South Korea,INTERVENTIONAL,PHASE1/PHASE2,620,3.23,2,7,19
South Korea,INTERVENTIONAL,PHASE2,2362,3.22,2,7,26
South Korea,INTERVENTIONAL,PHASE2/PHASE3,228,4.07,3,10,23
South Korea,INTERVENTIONAL,PHASE3,3692,5.67,4,12,50
South Korea,INTERVENTIONAL,PHASE4,1550,3.3,1,9,63
South Korea,OBSERVATIONAL,NA,2984,3.18,1,6,326
South Sudan,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
South Sudan,INTERVENTIONAL,PHASE3,2,1,1,1,1
South Sudan,INTERVENTIONAL,PHASE4,1,1,1,1,1
South Sudan,OBSERVATIONAL,NA,6,1,1,1,1
Spain,EXPANDED_ACCESS,NA,29,14.45,8,38,83
Spain,INTERVENTIONAL,EARLY_PHASE1,57,2.44,1,6,14
Spain,INTERVENTIONAL,NA,6622,1.66,1,2,108
Spain,INTERVENTIONAL,PHASE1,1300,3.28,3,7,24
Spain,INTERVENTIONAL,PHASE1/PHASE2,969,4.43,3,9,29
Spain,INTERVENTIONAL,PHASE2,3716,5.52,4,11,94
Spain,INTERVENTIONAL,PHASE2/PHASE3,413,5.01,3,11,30
Spain,INTERVENTIONAL,PHASE3,5640,7.68,6,15,79
Spain,INTERVENTIONAL,PHASE4,1371,5.39,2,13,87
Spain,OBSERVATIONAL,NA,4260,4.78,1,13,169
Sri Lanka,INTERVENTIONAL,NA,26,1.46,1,2.5,5
Sri Lanka,INTERVENTIONAL,PHASE1,1,2,2,2,2
Sri Lanka,INTERVENTIONAL,PHASE1/PHASE2,1,1,1,1,1
Sri Lanka,INTERVENTIONAL,PHASE2,7,3.29,3,4.8,6
Sri Lanka,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
Sri Lanka,INTERVENTIONAL,PHASE3,30,3.83,4,7.3,11
Sri Lanka,INTERVENTIONAL,PHASE4,7,3,3,5.2,7
Sri Lanka,OBSERVATIONAL,NA,45,1.29,1,1,11
Sudan,INTERVENTIONAL,NA,12,1.5,1,1.9,6
Sudan,INTERVENTIONAL,PHASE1,2,1,1,1,1
Sudan,INTERVENTIONAL,PHASE1/PHASE2,2,1,1,1,1
Sudan,INTERVENTIONAL,PHASE2,10,1.1,1,1.1,2
Sudan,INTERVENTIONAL,PHASE2/PHASE3,2,1.5,1.5,1.9,2
Sudan,INTERVENTIONAL,PHASE3,8,2.13,1,4.5,8
Sudan,INTERVENTIONAL,PHASE4,7,1.43,1,2.4,3
Sudan,OBSERVATIONAL,NA,31,1.03,1,1,2
Suriname,INTERVENTIONAL,NA,4,1,1,1,1
Suriname,OBSERVATIONAL,NA,4,1.5,1,2.4,3
Sweden,EXPANDED_ACCESS,NA,12,3.25,3,5,8
Sweden,INTERVENTIONAL,EARLY_PHASE1,39,1.26,1,1.2,5
Sweden,INTERVENTIONAL,NA,3138,1.66,1,3,58
Sweden,INTERVENTIONAL,PHASE1,339,1.41,1,2,7
Sweden,INTERVENTIONAL,PHASE1/PHASE2,219,1.62,1,3,12
Sweden,INTERVENTIONAL,PHASE2,1077,2.43,2,5,18
Sweden,INTERVENTIONAL,PHASE2/PHASE3,145,2.31,1,5,13
Sweden,INTERVENTIONAL,PHASE3,2137,3.64,3,7,108
Sweden,INTERVENTIONAL,PHASE4,493,3.5,1,7,65
Sweden,OBSERVATIONAL,NA,1908,1.87,1,3,56
Switzerland,EXPANDED_ACCESS,NA,24,4.13,3,8.7,11
Switzerland,INTERVENTIONAL,EARLY_PHASE1,46,1.15,1,1.5,3
Switzerland,INTERVENTIONAL,NA,3267,1.4,1,2,32
Switzerland,INTERVENTIONAL,PHASE1,443,1.44,1,3,10
Switzerland,INTERVENTIONAL,PHASE1/PHASE2,232,2.09,1,4,17
Switzerland,INTERVENTIONAL,PHASE2,985,2.54,1,5,26
Switzerland,INTERVENTIONAL,PHASE2/PHASE3,118,1.92,1,4,11
Switzerland,INTERVENTIONAL,PHASE3,1791,2.97,2,6,43
Switzerland,INTERVENTIONAL,PHASE4,602,1.79,1,3,26
Switzerland,OBSERVATIONAL,NA,2843,1.75,1,3,77
Syria,INTERVENTIONAL,NA,205,1.03,1,1,3
Syria,INTERVENTIONAL,PHASE1,2,1,1,1,1
Syria,INTERVENTIONAL,PHASE1/PHASE2,4,1,1,1,1
Syria,INTERVENTIONAL,PHASE2,2,1,1,1,1
Syria,INTERVENTIONAL,PHASE2/PHASE3,5,1,1,1,1
Syria,INTERVENTIONAL,PHASE3,9,1.33,1,2.2,3
Syria,INTERVENTIONAL,PHASE4,16,1,1,1,1
Syria,OBSERVATIONAL,NA,38,1.08,1,1,2
Taiwan,EXPANDED_ACCESS,NA,20,4.7,3,10.4,16
Taiwan,INTERVENTIONAL,EARLY_PHASE1,31,1.42,1,3,6
Taiwan,INTERVENTIONAL,NA,4028,1.15,1,1,14
Taiwan,INTERVENTIONAL,PHASE1,492,2.09,1,4,10
Taiwan,INTERVENTIONAL,PHASE1/PHASE2,310,2.69,2,5.1,11
Taiwan,INTERVENTIONAL,PHASE2,1281,3.09,2,6,16
Taiwan,INTERVENTIONAL,PHASE2/PHASE3,177,2.92,2,6,18
Taiwan,INTERVENTIONAL,PHASE3,2492,4.57,4,9,24
Taiwan,INTERVENTIONAL,PHASE4,702,2,1,5,14
Taiwan,OBSERVATIONAL,NA,2736,1.42,1,2,26
Tajikistan,EXPANDED_ACCESS,NA,1,1,1,1,1
Tajikistan,INTERVENTIONAL,NA,5,4.8,1,12.4,20
Tanzania,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
Tanzania,INTERVENTIONAL,NA,196,1.97,1,2,40
Tanzania,INTERVENTIONAL,PHASE1,25,1,1,1,1
Tanzania,INTERVENTIONAL,PHASE1/PHASE2,12,1.25,1,1,4
Tanzania,INTERVENTIONAL,PHASE2,54,1.33,1,2.7,3
Tanzania,INTERVENTIONAL,PHASE2/PHASE3,12,1.33,1,1.9,4
Tanzania,INTERVENTIONAL,PHASE3,86,1.28,1,2,8
Tanzania,INTERVENTIONAL,PHASE4,43,1.26,1,2,6
Tanzania,OBSERVATIONAL,NA,82,1.49,1,2,10
Thailand,EXPANDED_ACCESS,NA,11,2.45,2,5,5
Thailand,INTERVENTIONAL,EARLY_PHASE1,14,1.07,1,1,2
Thailand,INTERVENTIONAL,NA,1009,1.16,1,1,12
Thailand,INTERVENTIONAL,PHASE1,118,1.75,1,3,6
Thailand,INTERVENTIONAL,PHASE1/PHASE2,97,1.63,1,3,5
Thailand,INTERVENTIONAL,PHASE2,453,2.54,2,5,32
Thailand,INTERVENTIONAL,PHASE2/PHASE3,116,2.47,2,5,9
Thailand,INTERVENTIONAL,PHASE3,1219,3.56,3,7,43
Thailand,INTERVENTIONAL,PHASE4,442,1.72,1,3,10
Thailand,OBSERVATIONAL,NA,693,2,1,3,49
The Bahamas,INTERVENTIONAL,NA,4,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE1,1,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE2,7,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE2/PHASE3,1,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE3,5,1,1,1,1
The Bahamas,INTERVENTIONAL,PHASE4,1,1,1,1,1
The Gambia,INTERVENTIONAL,EARLY_PHASE1,1,1,1,1,1
The Gambia,INTERVENTIONAL,NA,17,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE1,8,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE1/PHASE2,3,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE2,11,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
The Gambia,INTERVENTIONAL,PHASE3,26,1.08,1,1,2
The Gambia,INTERVENTIONAL,PHASE4,6,1,1,1,1
The Gambia,OBSERVATIONAL,NA,22,1.09,1,1,2
Timor-Leste,INTERVENTIONAL,NA,1,1,1,1,1
Timor-Leste,INTERVENTIONAL,PHASE4,1,1,1,1,1
Togo,INTERVENTIONAL,NA,4,4.75,1.5,11.1,15
Togo,INTERVENTIONAL,PHASE2/PHASE3,2,1,1,1,1
Togo,INTERVENTIONAL,PHASE3,1,3,3,3,3
Togo,OBSERVATIONAL,NA,12,1.42,1,1.9,5
Trinidad and Tobago,INTERVENTIONAL,NA,4,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE1,2,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE1/PHASE2,4,1,1,1,1
Trinidad and Tobago,INTERVENTIONAL,PHASE2,3,1,1,1,1
